Year,Account,Bundle,Total_Amount,Total_Orders,Avg_Order_Value,Segment
2023,"TOKYO OHKA KOGYO AMERICA, INC.",Sierra Wireless,372.0,1,372.0,One-time/Low Value
2023,"TRI-R Systems, Inc",Sierra Wireless,6626.96,4,1656.74,Needs Nurture
2023,TSI Controls,Sierra Wireless,3696.23,2,1848.115,Loyal
2023,Tech Know How LLC,Sierra Wireless,937.18,1,937.18,One-time/Low Value
2023,Tech Solutions Statesboro,Peplink,941.18,1,941.18,One-time/Low Value
2023,Telstar Instruments,Sierra Wireless,650.59,1,650.59,One-time/Low Value
2023,Tennessee American Water,Sierra Wireless,3996.0,1,3996.0,Needs Nurture
2023,Tennessee Valley Authority,Sierra Wireless,3595.54,2,1797.77,Loyal
2023,Texas Electric Coop,Sierra Wireless,5670.6,1,5670.6,Promising/New
2023,"The Ritz-Carlton Residences, Inner Harbor, Baltimore",Use Cases,37848.0,1,37848.0,Big Spenders
2023,The York Water Company,Sierra Wireless,2397.6,1,2397.6,One-time/Low Value
2023,Thurmond McGlothlin,Sierra Wireless,567.2,1,567.2,One-time/Low Value
2023,Today's Power,Sierra Wireless,6050.56,1,6050.56,Needs Nurture
2023,Tri-County Electric Coop.,Cradlepoint,4971.81,1,4971.81,Promising/New
2023,Trigg County Sheriff,Sierra Wireless,11044.9,1,11044.9,Big Spenders
2023,Trinity Exploration & Production,Cradlepoint,100000.0,1,100000.0,Needs Nurture
2023,TruAccess Networks,Cradlepoint,409799.96,1,409799.96,Needs Nurture
2023,Truckee Meadows Water Authority,Sierra Wireless,2970.0,1,2970.0,Needs Nurture
2023,Trumansburg Police Department,Sierra Wireless,2197.34,1,2197.34,Promising/New
2023,UGI Utilities,Sierra Wireless,2651.6,1,2651.6,One-time/Low Value
2023,US Air Force,Cambium Networks,149396.77,1,149396.77,Needs Nurture
2023,US Army,Cambium Networks,82176.4,1,82176.4,Needs Nurture
2023,US Army,Nokia,33099.872,2,16549.936,At Risk
2023,US Army,Site Infrastructure,170770.78,2,85385.39000000001,Big Spenders
2023,United States Coast Guard,Cambium Networks,49897.45,2,24948.725,Big Spenders
2023,Uniti Fiber,Other,1261.92,1,1261.92,One-time/Low Value
2023,Unity Township Emergency Management,Sierra Wireless,2189.92,1,2189.92,Promising/New
2023,Utilicom Supply,Other,183.75,1,183.75,Promising/New
2023,Utilicom Supply,Sierra Wireless,107522.12,2,53761.06,At Risk
2023,VA-KY Communications,Sierra Wireless,2813.43,1,2813.43,Needs Nurture
2023,VLCM,Sierra Wireless,865.76,1,865.76,One-time/Low Value
2023,Wagoner Wind,Sierra Wireless,4680.0,1,4680.0,Needs Nurture
2023,Wavetronix,Sierra Wireless,1783.26,1,1783.26,One-time/Low Value
2023,We Energies,Sierra Wireless,23340.0,2,11670.0,Big Spenders
2023,West Kentucky Rural Electric,Other,453.9,1,453.9,One-time/Low Value
2023,West Side Vol Fire Department,Sierra Wireless,1227.56,1,1227.56,Promising/New
2023,West Virginia American Water,Sierra Wireless,36284.52,5,7256.904,Champions
2023,Western Midstream,Cambium Networks,1338857.09,14,95632.64928571427,Champions
2023,Western Midstream,Site Development,675511.78,2,337755.89,Champions
2023,Western Midstream,Site Infrastructure,2328522.34,6,388087.0566666666,Champions
2023,Westlake Financial,Sierra Wireless,1189.75,1,1189.75,Promising/New
2023,WiLine,Other,140000.0,1,140000.0,Needs Nurture
2023,WiLine,Peplink,85106.0,2,42553.0,Champions
2023,Williams Information Technology LLC,Sierra Wireless,1522485.98,19,80130.84105263157,Champions
2023,Williamsburg Police Department,Sierra Wireless,1237.9,1,1237.9,One-time/Low Value
2023,Yankee Communications,Sierra Wireless,39960.0,1,39960.0,Big Spenders
2023,York County,Cambium Networks,3685.48,1,3685.48,Needs Nurture
2023,Zentro,SIAE,142187.92,3,47395.97333333333,Champions
2023,showPRO,Sierra Wireless,1786.37,1,1786.37,One-time/Low Value
2024,3 River Signs,Sierra Wireless,350.0,1,350.0,One-time/Low Value
2024,"ACES American Control and Engineering Service, Inc.",Sierra Wireless,1092.27,1,1092.27,One-time/Low Value
2024,ACT,Cambium Networks,22000.64,2,11000.32,Loyal
2024,ACT,Ceragon Networks,1820.62,2,910.31,Loyal
2024,AD Security,Sierra Wireless,2660.48,1,2660.48,Needs Nurture
2024,AECOM,Sierra Wireless,1740.11,1,1740.11,One-time/Low Value
2024,AEP Texas,Sierra Wireless,1117.5,1,1117.5,One-time/Low Value
2024,APT Water,Sierra Wireless,100.0,1,100.0,One-time/Low Value
2024,ATI Flat Rolled Products,Celona,163092.84,5,32618.568,Champions
2024,ATI Flat Rolled Products,Cradlepoint,629.39,1,629.39,Promising/New
2024,ATI Flat Rolled Products,Other,135208.35,2,67604.17499999999,Big Spenders
2024,ATI Flat Rolled Products,Professional Services,52751.59,2,26375.795,At Risk
2024,ATI Flat Rolled Products,Use Cases,174.4,1,174.4,One-time/Low Value
2024,ATN International,Cambium Networks,70581.0,2,35290.5,Big Spenders
2024,ATN International,Ciena,142841.34,5,28568.268,Big Spenders
2024,ATN International,Other,9765.3,2,4882.65,At Risk
2024,AVFuel Corp,Sierra Wireless,2064.29,1,2064.29,Promising/New
2024,Abarta Coca-Cola,Sierra Wireless,1438.18,2,719.09,Loyal
2024,"Accel Communications, Inc",Sierra Wireless,365.49,1,365.49,One-time/Low Value
2024,Aclara - Hubbell Inc,Sierra Wireless,11180.93,3,3726.976666666667,Champions
2024,Action Communications,Sierra Wireless,219.32,1,219.32,One-time/Low Value
2024,Akila,Peplink,5950.0,1,5950.0,Promising/New
2024,Algonquin Power,Sierra Wireless,1301.18,1,1301.18,One-time/Low Value
2024,All Electric,Sierra Wireless,1629.78,1,1629.78,One-time/Low Value
2024,All Phase Electric,Sierra Wireless,674.39,1,674.39,One-time/Low Value
2024,"Allied Control Services, Inc.",Sierra Wireless,24863.63,3,8287.876666666667,Champions
2024,Alpine Fund,Sierra Wireless,394.12,1,394.12,Promising/New
2024,American Water,Sierra Wireless,22198.0,2,11099.0,Big Spenders
2024,American Water Military Service  Group,Sierra Wireless,3782.07,2,1891.035,Needs Nurture
2024,Ampirical,Sierra Wireless,9132.32,1,9132.32,Needs Nurture
2024,Amscot - The Money Superstore,Other,2928.97,2,1464.485,Needs Nurture
2024,Amtrak,Sierra Wireless,2557.65,1,2557.65,Needs Nurture
2024,Apergy - ChampionX,Other,17097.0,1,17097.0,Needs Nurture
2024,Apergy - ChampionX,Sierra Wireless,196680.5,7,28097.21428571429,Champions
2024,Applied Connective,Sierra Wireless,471.15,1,471.15,One-time/Low Value
2024,Arizona DOT,Sierra Wireless,2397.5,1,2397.5,Needs Nurture
2024,Arrowhead Automation,Sierra Wireless,1862.49,1,1862.49,One-time/Low Value
2024,Artesian Water,Sierra Wireless,2836.0,1,2836.0,Needs Nurture
2024,Ashtontek,Celona,3003038.23,1,3003038.23,Big Spenders
2024,Atlantic Veterinary Hospital,Peplink,281.18,1,281.18,One-time/Low Value
2024,"Automated Control Concepts, Inc./ Inflexion Point",Sierra Wireless,15131.9,7,2161.7,Champions
2024,Automated Control Service,Sierra Wireless,3897.6,1,3897.6,Needs Nurture
2024,Avarisource,Ericsson,2823530.4,1,2823530.4,Big Spenders
2024,Avery Dennison,Sierra Wireless,924.39,1,924.39,One-time/Low Value
2024,Baack Controls,Sierra Wireless,1004.37,1,1004.37,One-time/Low Value
2024,Beavertails Food Truck Co.,Peplink,476.19,1,476.19,One-time/Low Value
2024,Beck Tech,Sierra Wireless,44128.93,2,22064.465,Big Spenders
2024,BlackHawk Datacom,Ceragon Networks,1525.0,1,1525.0,One-time/Low Value
2024,Bluebonnet Electric Cooperative,Sierra Wireless,13732.6,2,6866.3,At Risk
